"Scientific_name","Isolation_type","Location","Isolation_source","Host","Collection_date","Isolate","Strand","Element_symbol","Type","Method","Genus","Species"
"Salmonella enterica","clinical","USA","unknown","horses",1995,"PDT001877968.1","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Salmonella enterica","clinical","USA","unknown","horses",1995,"PDT001877968.1","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Salmonella enterica","clinical","USA","unknown","horses",1998,"PDT001877905.1","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Salmonella enterica","clinical","USA","unknown","horses",1998,"PDT001877905.1","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Klebsiella pneumoniae","clinical","Mexico","unknown","human",2000,"PDT001012069.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","blood","human",2002,"PDT000131609.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella oxytoca","clinical","UK","blood","human",2003,"PDT000132998.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella oxytoca"
"Klebsiella pneumoniae","clinical","Laos","sterile","human",2003,"PDT000437233.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Laos","sterile","human",2003,"PDT000437233.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Salmonella  Concord","clinical","Austria","ethiopian adoptees","human",2004,"PDT000047432.4","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Salmonella  Concord","clinical","Austria","ethiopian adoptees","human",2004,"PDT000047432.4","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Klebsiella pneumoniae","clinical","Spain","blood","human",2005,"PDT001961091.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","blood","human",2005,"PDT001961091.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","blood","human",2005,"PDT001961174.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","blood","human",2005,"PDT001961174.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","rectal","human",2005,"PDT001961128.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","rectal","human",2005,"PDT001961128.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","throat","human",2005,"PDT001967044.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","throat","human",2005,"PDT001967044.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","urine","human",2005,"PDT000724095.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","urine","human",2005,"PDT000724095.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","urine","human",2005,"PDT001085927.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","urine","human",2005,"PDT001917821.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","urine","human",2005,"PDT001917821.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Colombia","unknown","human",2005,"PDT000276046.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella quasipneumoniae","clinical","Colombia","unknown","human",2005,"PDT000276060.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella quasipneumoniae"
"Klebsiella pneumoniae","clinical","Spain","bile","human",2006,"PDT001961124.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","bile","human",2006,"PDT001961124.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","blood","human",2006,"PDT001961100.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","blood","human",2006,"PDT001961100.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","blood","human",2006,"PDT001961177.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","blood","human",2006,"PDT001961177.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","catheter","human",2006,"PDT001961093.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","catheter","human",2006,"PDT001961093.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Salmonella  Concord","clinical","Ireland","ethiopian adoptees","human",2006,"PDT000197459.1","-","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Salmonella  Concord","clinical","Denmark","ethiopian adoptees","human",2006,"PDT000197460.1","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Klebsiella pneumoniae","clinical","Spain","sputum","human",2006,"PDT001917822.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","sputum","human",2006,"PDT001917822.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","throat","human",2006,"PDT001917823.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","throat","human",2006,"PDT001917823.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","urine","human",2006,"PDT001961092.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","urine","human",2006,"PDT001961092.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","urine","human",2006,"PDT001961099.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","urine","human",2006,"PDT001961099.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Colombia","unknown","human",2006,"PDT000276063.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Colombia","unknown","human",2006,"PDT000276064.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Brazil","unknown","human",2006,"PDT000326543.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Salmonella  Concord","clinical","USA","ethiopian adoptees","human",2007,"PDT000047429.4","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Salmonella  Concord","clinical","USA","ethiopian adoptees","human",2007,"PDT000047429.4","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Klebsiella pneumoniae","clinical","Spain","rectal","human",2007,"PDT001917824.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","rectal","human",2007,"PDT001917824.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","urine","human",2007,"PDT001961094.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","urine","human",2007,"PDT001961094.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella quasipneumoniae","clinical","Bangladesh","unknown","human",2007,"PDT001557857.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella quasipneumoniae"
"Klebsiella quasipneumoniae","clinical","Bangladesh","unknown","human",2007,"PDT001557857.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella quasipneumoniae"
"Klebsiella quasipneumoniae","clinical","Bangladesh","unknown","human",2007,"PDT001558286.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella quasipneumoniae"
"Klebsiella quasipneumoniae","clinical","Bangladesh","unknown","human",2007,"PDT001558286.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella quasipneumoniae"
"Klebsiella pneumoniae","clinical","Portugal","hospital patient","human",2008,"PDT000764776.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella quasipneumoniae","clinical","Nigeria","blood","human",2010,"PDT000217813.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella quasipneumoniae"
"Pseudomonas aeruginosa","clinical","Switzerland","hospital","human",2010,"PDT000411528.1","+","blaSCO-1","AMR","ALLELEP","Pseudomonas","Pseudomonas aeruginosa"
"Klebsiella pneumoniae","clinical","Portugal","urine","human",2010,"PDT000797568.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","unknown","human",2010,"PDT002235067.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","unknown","human",2010,"PDT002235068.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","unknown","human",2010,"PDT002235069.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","unknown","human",2010,"PDT002235072.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Nigeria","blood","human",2011,"PDT000217807.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Norway","blood","human",2011,"PDT001092033.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Norway","blood","human",2011,"PDT001092033.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Germany","blood","human",2011,"PDT001286510.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Germany","blood","human",2011,"PDT001286510.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Norway","blood","human",2011,"PDT002369893.2","+","blaSCO-1","AMR","ALLELEX","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Tunisia","blood","human",2011,"PDT002391510.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Tunisia","blood","human",2011,"PDT002391510.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Brazil","cerebrospinal fluid","human",2011,"PDT000352590.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","clinical material","human",2011,"PDT000715323.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","clinical material","human",2011,"PDT000715323.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Tanzania","feces","human",2011,"PDT000706539.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Germany","inguinal skin","human",2011,"PDT000432638.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Germany","inguinal skin","human",2011,"PDT000432638.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Escherichia coli","clinical",NA,"unknown","unknown",2011,"PDT000433402.1","+","blaSCO-1","AMR","ALLELEP","Escherichia","Escherichia coli"
"Escherichia coli","clinical",NA,"unknown","unknown",2011,"PDT000433402.1","+","blaSCO-1","AMR","ALLELEP","Escherichia","Escherichia coli"
"Klebsiella pneumoniae","clinical","Spain","unknown","human",2011,"PDT000434768.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","unknown","human",2011,"PDT000434768.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Pseudomonas aeruginosa","clinical","Russia","unknown","human",2011,"PDT002554407.1","-","blaSCO-1","AMR","ALLELEP","Pseudomonas","Pseudomonas aeruginosa"
"Klebsiella pneumoniae","clinical","UK","blood","human",2012,"PDT000136259.2","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","blood","human",2012,"PDT000136259.2","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","blood","human",2012,"PDT000136260.2","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","blood","human",2012,"PDT000136260.2","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Tunisia","blood","human",2012,"PDT002391504.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Tunisia","blood","human",2012,"PDT002391504.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Escherichia coli","clinical","Estonia","clinical material","human",2012,"PDT000521057.1","-","blaSCO-1","AMR","ALLELEP","Escherichia","Escherichia coli"
"Klebsiella pneumoniae","clinical","Norway","clinical material","human",2012,"PDT000543364.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Netherlands","perineum","human",2012,"PDT000121609.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","surveillance","human",2012,"PDT001090261.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","surveillance","human",2012,"PDT001090261.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","USA","urine","human",2012,"PDT000875458.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","USA","urine","human",2012,"PDT000875458.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","unknown","human",2012,"PDT000434779.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","unknown","human",2012,"PDT000434779.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Thailand","unknown","human",2012,"PDT000434784.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Thailand","unknown","human",2012,"PDT000434784.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Germany","unknown","human",2012,"PDT000441691.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Germany","unknown","human",2012,"PDT000441691.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","unknown","human",2012,"PDT000604093.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Nigeria","blood","human",2013,"PDT000217847.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Nigeria","blood","human",2013,"PDT000217875.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","blood","human",2013,"PDT000370398.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","blood","human",2013,"PDT000370399.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","blood","human",2013,"PDT000370412.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","blood","human",2013,"PDT000370439.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Tunisia","blood","human",2013,"PDT002391496.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Tunisia","blood","human",2013,"PDT002391496.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","clinical material","human",2013,"PDT000715241.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","UK","clinical material","human",2013,"PDT000715241.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Salmonella  Concord","clinical","Ethiopia","feces","human",2013,"PDT000503462.1","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Salmonella  Concord","clinical","Ethiopia","feces","human",2013,"PDT000503462.1","+","blaSCO-1","AMR","ALLELEP","Salmonella","Salmonella enterica"
"Klebsiella pneumoniae","clinical","Switzerland","feces","human",2013,"PDT001277609.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Switzerland","feces","human",2013,"PDT001277610.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Switzerland","feces","human",2013,"PDT001277611.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Switzerland","feces","human",2013,"PDT001277612.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Switzerland","feces","human",2013,"PDT001277613.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Switzerland","hospital","human",2013,"PDT000411398.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Switzerland","hospital","human",2013,"PDT000411420.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Switzerland","hospital","human",2013,"PDT000411429.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Greece","lower respiratory tract","human",2013,"PDT000369898.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Slovenia","lower respiratory tract","human",2013,"PDT000370151.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Turkey","lower respiratory tract","human",2013,"PDT000370728.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","pus","human",2013,"PDT000088812.2","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","pus","human",2013,"PDT000088833.2","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","surveillance","human",2013,"PDT002651311.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Spain","surveillance","human",2013,"PDT002651311.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Ireland","swab","human",2013,"PDT000370470.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","urine","human",2013,"PDT000088814.2","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","urine","human",2013,"PDT000088823.2","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","South Africa","urine","human",2013,"PDT000088827.2","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Providencia rettgeri","clinical","South Africa","urine","human",2013,"PDT000248909.1","-","blaSCO-1","AMR","ALLELEP","Providencia","Providencia rettgeri"
"Klebsiella pneumoniae","clinical","South Africa","urine","human",2013,"PDT000252021.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Slovenia","urine","human",2013,"PDT000370139.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Ireland","urine","human",2013,"PDT000370472.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Germany","urine","human",2013,"PDT000441697.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Germany","urine","human",2013,"PDT000441697.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Norway","urine","human",2013,"PDT000537581.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Norway","urine","human",2013,"PDT000537581.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Romania","wound","human",2013,"PDT000370258.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Proteus mirabilis","clinical","South Africa","unknown","human",2013,"PDT000248910.1","-","blaSCO-1","AMR","ALLELEP","Proteus","Proteus mirabilis"
"Klebsiella pneumoniae","unknown","France","unknown","dog",2013,"PDT000992755.1","+","blaSCO-1","AMR","ALLELEX","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","environmental","Switzerland","unknown","unknown",2013,"PDT001137019.1","-","blaSCO-1","AMR","ALLELEX","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Switzerland","unknown","human",2013,"PDT001137084.1","-","blaSCO-1","AMR","ALLELEX","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Switzerland","unknown","human",2013,"PDT001137097.1","-","blaSCO-1","AMR","ALLELEX","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Switzerland","unknown","human",2013,"PDT001137102.1","-","blaSCO-1","AMR","ALLELEX","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Nigeria","blood","human",2014,"PDT000217837.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Nigeria","blood","human",2014,"PDT000217879.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","blood","human",2014,"PDT000370433.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Serbia","blood","human",2014,"PDT000370456.1","-","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
"Klebsiella pneumoniae","clinical","Turkey","blood","human",2014,"PDT000370574.1","+","blaSCO-1","AMR","ALLELEP","Klebsiella","Klebsiella pneumoniae"
